
1	1	1
1	18	1
1	25	1
1	46	1
1	54	1
1	58	1
1	64	1
1	87	1
1	88	1
1	111	1
1	112	4
2	7	1
2	9	3
2	10	3
2	36	1
2	43	1
2	46	4
2	51	2
2	73	3
2	93	1
2	94	1
2	103	1
3	5	2
3	24	1
3	45	4
3	55	1
3	60	1
3	70	1
3	83	4
3	86	4
3	94	1
3	104	1
3	111	3
4	7	4
4	16	4
4	25	1
4	46	3
4	58	4
4	66	4
4	76	3
4	91	4
4	94	4
4	97	4
4	108	4
5	7	3
5	16	2
5	44	2
5	46	2
5	50	3
5	66	3
5	76	1
5	91	3
5	94	3
5	97	3
5	108	3
6	1	1
6	7	1
6	12	1
6	15	1
6	18	1
6	25	1
6	61	1
6	76	2
6	90	1
6	103	1
6	104	3
7	7	3
7	9	2
7	26	1
7	42	1
7	51	2
7	60	1
7	66	1
7	81	1
7	86	3
7	92	1
7	110	3
8	3	4
8	5	1
8	12	1
8	25	1
8	37	4
8	41	4
8	46	3
8	47	4
8	60	1
8	82	4
8	103	4
9	2	1
9	5	2
9	16	1
9	21	2
9	22	1
9	29	1
9	58	1
9	66	2
9	80	1
9	81	1
9	93	1
10	5	2
10	10	2
10	21	1
10	25	4
10	27	2
10	58	3
10	66	4
10	76	1
10	78	4
10	95	4
10	96	2
11	13	1
11	14	3
11	28	4
11	31	4
11	35	4
11	53	1
11	68	4
11	72	4
11	80	1
11	98	4
11	108	4
12	5	2
12	21	4
12	25	3
12	27	4
12	58	1
12	66	3
12	76	4
12	78	4
12	91	1
12	95	4
12	96	4
13	1	2
13	10	2
13	11	3
13	16	2
13	38	2
13	43	3
13	45	3
13	62	3
13	68	2
13	74	2
13	79	2
14	5	2
14	9	3
14	26	3
14	43	3
14	47	3
14	51	3
14	59	3
14	60	3
14	79	4
14	80	3
14	110	3
15	10	4
15	25	2
15	43	2
15	45	2
15	58	4
15	62	4
15	73	4
15	76	2
15	87	4
15	89	4
15	104	4
16	6	2
16	9	2
16	18	3
16	41	3
16	48	3
16	51	3
16	54	3
16	57	3
16	88	3
16	103	3
16	106	2
17	3	4
17	9	2
17	12	3
17	19	1
17	26	4
17	47	1
17	51	1
17	60	1
17	82	3
17	94	3
17	95	1
18	7	1
18	9	2
18	26	4
18	47	1
18	51	1
18	63	1
18	66	1
18	84	1
18	86	1
18	90	1
18	103	4
19	5	3
19	46	2
19	47	3
19	51	1
19	66	4
19	77	1
19	86	1
19	92	1
19	106	2
19	110	1
19	112	4
20	1	2
20	10	1
20	13	1
20	18	1
20	24	1
20	69	1
20	73	1
20	82	1
20	83	1
20	85	1
20	94	3
21	9	1
21	16	2
21	26	2
21	46	2
21	47	2
21	48	2
21	51	2
21	74	2
21	76	2
21	81	2
21	91	2
22	7	2
22	12	2
22	44	2
22	46	3
22	57	2
22	58	2
22	60	2
22	68	2
22	74	2
22	76	1
22	86	1
23	10	3
23	11	3
23	16	3
23	39	3
23	43	2
23	45	2
23	62	3
23	66	3
23	68	3
23	74	3
23	79	3
24	7	4
24	9	2
24	21	4
24	26	4
24	47	3
24	65	4
24	74	4
24	87	4
24	89	4
24	103	4
24	107	3
25	5	3
25	18	4
25	20	4
25	25	3
25	43	1
25	53	1
25	62	4
25	68	1
25	72	1
25	76	3
25	106	4
26	7	1
26	9	4
26	10	2
