 
1	1	0.99 	0.67 	0.69 	0.71
1	2	0.67 	0.99 	0.62 	0.71
1	3	0.69 	0.62 	0.99 	0.74
1	4	0.71 	0.71 	0.74 	0.99
2	1	0.99 	0.74 	0.83 	0.74
2	2	0.74 	0.99 	0.71 	0.71
2	3	0.83 	0.71 	0.99 	0.67
2	4	0.74 	0.71 	0.67 	0.99
3	1	0.99 	0.78 	0.63 	0.67
3	2	0.78 	0.99 	0.61 	0.67
3	3	0.63 	0.61 	0.99 	0.61
3	4	0.67 	0.67 	0.61 	0.99
4	1	0.99 	0.78 	0.65 	0.62
4	2	0.78 	0.99 	0.65 	0.65
4	3	0.65 	0.65 	0.99 	0.78
4	4	0.62 	0.65 	0.78 	0.99
5	1	0.99 	0.83 	0.78 	0.83
5	2	0.83 	0.99 	0.74 	0.99
5	3	0.78 	0.74 	0.99 	0.74
5	4	0.83 	0.99 	0.74 	0.99
6	1	0.99 	0.71 	0.67 	0.99
6	2	0.71 	0.99 	0.71 	0.71
6	3	0.67 	0.71 	0.99 	0.67
6	4	0.99 	0.71 	0.67 	0.99
7	1	0.99 	0.74 	0.83 	0.65
7	2	0.74 	0.99 	0.78 	0.71
7	3	0.83 	0.78 	0.99 	0.63
7	4	0.65 	0.71 	0.63 	0.99
8	1	0.99 	0.78 	0.67 	0.78
8	2	0.78 	0.99 	0.78 	0.78
8	3	0.67 	0.78 	0.99 	0.67
8	4	0.78 	0.78 	0.67 	0.99
9	1	0.99 	0.83 	0.71 	0.83
9	2	0.83 	0.99 	0.74 	0.78
9	3	0.71 	0.74 	0.99 	0.65
9	4	0.83 	0.78 	0.65 	0.99
10	1	0.99 	0.74 	0.59 	0.83
10	2	0.74 	0.99 	0.65 	0.78
10	3	0.59 	0.65 	0.99 	0.62
10	4	0.83 	0.78 	0.62 	0.99
11	1	0.99 	0.63 	0.71 	0.78
11	2	0.63 	0.99 	0.59 	0.67
11	3	0.71 	0.59 	0.99 	0.78
11	4	0.78 	0.67 	0.78 	0.99
12	1	0.99 	0.78 	0.78 	0.78
12	2	0.78 	0.99 	0.71 	0.67
12	3	0.78 	0.71 	0.99 	0.78
12	4	0.78 	0.67 	0.78 	0.99
13	1	0.99 	0.71 	0.78 	0.74
13	2	0.71 	0.99 	0.71 	0.65
13	3	0.78 	0.71 	0.99 	0.74
13	4	0.74 	0.65 	0.74 	0.99
14	1	0.99 	0.69 	0.71 	0.74
14	2	0.69 	0.99 	0.62 	0.67
14	3	0.71 	0.62 	0.99 	0.74
14	4	0.74 	0.67 	0.74 	0.99
15	1	0.99 	0.74 	0.78 	0.78
15	2	0.74 	0.99 	0.74 	0.74
15	3	0.78 	0.74 	0.99 	0.99
15	4	0.78 	0.74 	0.99 	0.99
16	1	0.99 	0.74 	0.61 	0.62
16	2	0.74 	0.99 	0.74 	0.63
16	3	0.61 	0.74 	0.99 	0.65
16	4	0.62 	0.63 	0.65 	0.99
17	1	0.99 	0.83 	0.83 	0.78
17	2	0.83 	0.99 	0.99 	0.83
17	3	0.83 	0.99 	0.99 	0.83
17	4	0.78 	0.83 	0.83 	0.99
18	1	0.99 	0.67 	0.74 	0.83
18	2	0.67 	0.99 	0.58 	0.62
18	3	0.74 	0.58 	0.99 	0.78
18	4	0.83 	0.62 	0.78 	0.99
19	1	0.99 	0.74 	0.69 	0.78
19	2	0.74 	0.99 	0.71 	0.83
19	3	0.69 	0.71 	0.99 	0.74
19	4	0.78 	0.83 	0.74 	0.99
20	1	0.99 	0.69 	0.78 	0.65
20	2	0.69 	0.99 	0.69 	0.61
20	3	0.78 	0.69 	0.99 	0.60
20	4	0.65 	0.61 	0.60 	0.99
21	1	0.99 	0.83 	0.69 	0.83
21	2	0.83 	0.99 	0.78 	0.78
21	3	0.69 	0.78 	0.99 	0.67
21	4	0.83 	0.78 	0.67 	0.99
22	1	0.99 	0.78 	0.83 	0.62
22	2	0.78 	0.99 	0.74 	0.58
22	3	0.83 	0.74 	0.99 	0.67
22	4	0.62 	0.58 	0.67 	0.99
23	1	0.99 	0.61 	0.60 	0.65
23	2	0.61 	0.99 	0.74 	0.60
23	3	0.60 	0.74 	0.99 	0.63
23	4	0.65 	0.60 	0.63 	0.99
24	1	0.99 	0.62 	0.63 	0.67
24	2	0.62 	0.99 	0.74 	0.74
24	3	0.63 	0.74 	0.99 	0.71
24	4	0.67 	0.74 	0.71 	0.99
25	1	0.99 	0.69 	0.83 	0.74
25	2	0.69 	0.99 	0.63 	0.71
25	3	0.83 	0.63 	0.99 	0.71
25	4	0.74 	0.71 	0.71 	0.99
26	1	0.99 	0.67 	0.63 	0.71
26	2	0.67 	0.99 	0.61 	0.63
26	3	0.63 	0.61 	0.99 	0.59
26	4	0.71 	0.63 	0.59 	0.99
27	1	0.99 	0.69 	0.78 	0.83
27	2	0.69 	0.99 	0.74 	0.63
27	3	0.78 	0.74 	0.99 	0.74
27	4	0.83 	0.63 	0.74 	0.99
28	1	0.99 	0.78 	0.83 	0.62
28	2	0.78 	0.99 	0.74 	0.65
28	3	0.83 	0.74 	0.99 	0.63
28	4	0.62 	0.65 	0.63 	0.99
29	1	0.99 	0.71 	0.74 	0.69
29	2	0.71 	0.99 	0.69 	0.74
29	3	0.74 	0.69 	0.99 	0.67
29	4	0.69 	0.74 	0.67 	0.99
30	1	0.99 	0.67 	0.71 	0.74
30	2	0.67 	0.99 	0.78 	0.74
30	3	0.71 	0.78 	0.99 	0.74
30	4	0.74 	0.74 	0.74 	0.99
31	1	0.99 	0.71 	0.78 	0.71
31	2	0.71 	0.99 	0.71 	0.78
31	3	0.78 	0.71 	0.99 	0.78
31	4	0.71 	0.78 	0.78 	0.99
32	1	0.99 	0.71 	0.71 	0.65
32	2	0.71 	0.99 	0.78 	0.74
32	3	0.71 	0.78 	0.99 	0.83
32	4	0.65 	0.74 	0.83 	0.99
33	1	0.99 	0.71 	0.61 	0.67
33	2	0.71 	0.99 	0.67 	0.78
33	3	0.61 	0.67 	0.99 	0.78
33	4	0.67 	0.78 	0.78 	0.99
34	1	0.99 	0.74 	0.78 	0.78
34	2	0.74 	0.99 	0.65 	0.74
34	3	0.78 	0.65 	0.99 	0.67
34	4	0.78 	0.74 	0.67 	0.99
35	1	0.99 	0.62 	0.63 	0.67
35	2	0.62 	0.99 	0.74 	0.69
35	3	0.63 	0.74 	0.99 	0.78
35	4	0.67 	0.69 	0.78 	0.99
36	1	0.99 	0.67 	0.71 	0.71
36	2	0.67 	0.99 	0.67 	0.78
36	3	0.71 	0.67 	0.99 	0.67
36	4	0.71 	0.78 	0.67 	0.99
37	1	0.99 	0.63 	0.74 	0.65
37	2	0.63 	0.99 	0.62 	0.65
37	3	0.74 	0.62 	0.99 	0.57
37	4	0.65 	0.65 	0.57 	0.99
38	1	0.99 	0.78 	0.78 	0.83
38	2	0.78 	0.99 	0.99 	0.74
38	3	0.78 	0.99 	0.99 	0.74
38	4	0.83 	0.74 	0.74 	0.99
39	1	0.99 	0.74 	0.78 	0.74
