
1	35	1
1	43	1
1	39	2
1	21	3
1	31	4
2	9	1
2	30	1
2	8	2
2	6	3
2	10	3
2	16	4
3	16	1
3	36	1
3	13	2
3	21	2
3	22	3
3	46	4
4	16	1
4	39	2
4	45	2
4	21	3
4	31	4
4	35	4
4	48	4
5	35	1
5	21	2
5	34	3
5	26	4
5	28	4
6	47	1
6	49	1
6	16	2
6	39	3
6	25	4
7	31	1
7	36	1
7	45	2
7	39	3
7	16	4
7	28	4
8	17	1
8	26	2
8	21	3
8	43	4
9	17	1
9	41	2
9	43	2
9	16	3
9	26	4
10	15	1
10	24	2
10	43	2
10	49	2
10	16	3
10	39	4
11	9	1
11	41	2
11	17	3
11	28	4
11	35	4
12	17	1
12	21	2
12	14	3
12	26	4
13	19	1
13	17	2
13	14	3
13	41	3
13	26	4
13	46	4
13	48	4
14	16	1
14	21	2
14	11	3
14	17	3
14	41	4
14	43	4
15	21	1
15	42	2
15	35	3
15	17	4
15	26	4
15	28	4
16	44	1
16	23	2
16	6	3
16	13	3
16	42	3
16	8	4
17	8	1
17	13	2
17	41	3
17	43	4
18	13	1
18	38	1
18	16	2
18	3	3
18	15	4
18	17	4
19	39	1
19	47	1
19	41	2
19	7	3
19	16	4
20	31	1
20	39	2
20	45	3
20	28	4
21	22	1
21	13	2
21	16	2
21	21	3
21	26	3
21	29	4
21	36	4
22	2	1
22	41	2
22	13	3
22	38	3
22	16	4
23	16	1
23	21	1
23	41	1
23	35	2
23	2	3
23	8	4
23	39	4
24	21	1
24	21	1
24	28	2
24	16	3
24	26	4
25	17	1
25	16	2
25	21	2
25	15	3
25	48	3
25	3	4
26	2	1
26	25	1
26	47	1
26	39	2
26	41	2
26	16	3
26	8	4
27	22	1
27	28	1
27	26	2
27	44	3
27	17	4
27	21	4
28	7	1
28	34	2
28	27	3
28	39	4
28	41	4
29	16	1
29	26	2
29	13	3
29	21	4
30	34	1
30	41	2
30	8	3
30	11	4
31	34	1
31	39	1
31	11	2
31	41	2
31	33	3
31	37	4
32	8	1
32	28	1
32	44	2
32	7	3
32	4	4
33	2	1
33	41	2
33	35	3
33	1	4
33	39	4
34	8	1
34	9	1
34	30	2
34	13	3
34	6	4
35	16	1
35	21	1
35	8	2
35	39	3
35	49	4
36	29	1
36	12	2
36	21	2
36	9	3
36	1	4
36	13	4
37	19	1
37	37	1
37	48	1
37	41	2
37	33	3
37	16	4
38	4	1
38	27	1
38	19	2
38	28	2
38	8	4
38	31	4
39	48	1
39	49	1
39	16	2
39	19	3
39	39	3
39	8	4
39	24	4
40	23	1
40	15	2
40	17	2
40	3	3
40	45	3
40	39	4
41	7	1
41	10	2
41	39	3
41	33	4
42	30	1
42	9	2
42	6	3
42	1	4
43	16	1
43	10	2
43	8	3
43	7	4
44	34	1
44	17	2
44	43	3
44	45	4
45	13	1
45	13	1
45	29	2
45	16	3
45	21	3
45	26	3
45	46	3
46	35	1
46	28	2
46	45	3
46	31	4
47	4	1
47	27	1
47	16	2
47	28	2
47	22	3
47	8	4
48	2	1
48	14	1
48	16	2
48	43	2
48	35	3
48	8	4
48	39	4
49	28	1
49	39	1
49	16	2
49	9	3
49	10	4
50	11	1
50	7	2
50	8	2
50	34	3
50	4	4
50	27	4
51	34	1
51	17	2
51	35	2
51	28	3
51	26	4
52	41	1
52	43	2
52	5	3
52	34	3
52	33	4
53	21	1
53	46	2
53	16	3
53	17	4
54	28	1
54	7	2
54	8	3
54	16	4
55	11	1
55	16	1
55	24	2
55	49	2
55	39	3
55	8	4
55	15	4
56	33	1
56	7	2
56	39	2
56	32	3
56	37	3
56	41	4
57	46	1
57	29	2
57	19	3
57	16	4
57	21	4
58	33	1
58	41	1
58	12	2
58	39	2
58	1	3
58	7	3
58	37	3
58	9	4
59	10	1
59	33	2
59	39	3
59	41	4
60	3	1
60	17	1
60	15	2
60	45	3
60	39	4
61	41	1
61	26	2
61	14	3
61	17	4
62	21	1
62	46	2
62	29	3
62	13	4
63	35	1
63	8	2
63	39	3
63	21	4
64	26	1
64	46	2
64	13	3
64	29	4
65	17	1
65	39	2
65	25	3
65	3	4
65	15	4
66	8	1
66	34	2
66	28	3
66	43	4
67	35	1
67	39	2
67	8	3
67	41	4
68	39	1
68	49	2
68	5	3
68	24	4
69	8	1
69	35	1
69	41	2
69	2	3
69	42	3
69	21	4
70	14	1
70	32	2
70	9	3
70	26	3
70	46	3
70	17	4
70	41	4
71	46	1
71	14	2
71	41	3
71	17	4
72	35	1
72	39	2
72	16	3
72	41	3
72	20	4
73	20	1
73	27	1
73	7	2
73	8	3
73	4	4
74	15	1
74	45	1
74	39	2
74	17	3
74	3	4
74	16	4
75	28	1
75	41	2
75	48	2
75	22	3
75	35	3
75	44	3
75	17	4
75	26	4
76	27	1
76	8	2
76	4	3
76	16	4
77	8	1
77	14	2
77	6	3
77	30	3
77	16	4
77	43	4
78	11	1
78	18	1
78	8	2
78	16	3
78	6	4
79	28	1
79	7	2
79	8	2
79	4	3
79	27	3
79	16	4
79	20	4
80	13	1
80	26	1
80	46	2
80	21	3
80	42	3
80	29	4
81	49	1
81	15	2
81	24	3
81	25	3
81	16	4
82	40	1
82	41	1
82	34	2
82	43	2
82	21	3
82	46	4
83	16	1
83	15	2
83	17	3
83	39	3
83	3	4
84	8	1
84	41	2
84	39	3
84	34	4
85	33	1
85	22	2
85	48	2
85	41	4
85	44	4
86	5	1
86	13	2
86	34	2
86	43	3
86	46	4
87	17	1
87	21	1
87	26	2
87	16	3
87	18	4
88	35	1
88	31	2
88	36	2
88	39	3
88	45	4
89	109	1
89	104	2
89	92	3
89	89	4
90	70	1
90	93	2
90	118	2
90	115	3
90	105	4
91	93	1
91	115	2
91	105	3
91	70	4
91	106	4
92	90	1
92	118	2
92	61	3
92	89	4
93	62	1
93	89	2
93	61	3
93	93	3
93	94	4
94	93	1
94	58	2
94	114	3
94	118	4
95	93	1
95	94	2
95	89	3
95	88	4
96	88	1
96	89	2
96	92	3
96	109	3
96	61	4
97	70	1
97	88	1
97	115	2
97	85	3
97	108	4
98	118	1
98	90	2
98	89	3
98	61	4
99	84	1
99	89	2
99	61	3
99	118	4
100	58	1
100	79	2
100	118	3
100	85	4
101	94	1
101	88	2
101	108	3
101	70	4
102	111	1
102	118	2
102	93	3
102	70	4
103	61	1
103	89	2
103	118	3
103	90	4
104	96	1
